IDNumber,FirstName,LastName,email,TotalScore,JobCode,JobName,קוד ועדה אזורית,שם ועדה אזורית
239687759,פוליש,טסט,polish@mailinator.com,45.14285714,440,מזכיר ספירת קולות בוועדה הארצית,9,09-חדרה
230217937, נהנהנה,בבבב,un.ique.qaemail12.345@gmail.com,45.14285714,500,חבר ועדת קלפי,10,10-השרון-נתניה
325959435,עעעע,קקקק,akirachickent.es.t.er@gmail.com,45.14285714,501,קולט בוועדת קליטה,11,11-פתח תקווה
33860917,צצצצצ,ממממ,kip.snew.qae.ma.il@gmail.com,44.132,300,מזכיר ועדת קלפי רגילה,12,12-רמלה-לוד
331775999,דודו,אהרון,dudu@dispostable.com,42.85714286,305,מזכיר ועדת קלפי נגישה מיוחדת,13,13-רחובות
232859736,עיוור,טסט,iver@dispostable.com,42.85714286,310,מזכיר ועדת קלפי בית חולים,14,14-תל אביב
239599434,חירש,כהן,heresh@dispostable.com,42.85714286,320,מזכיר ועדת קלפי בבית סוהר,15,15-דן
338756331,יובלי,שחר,yuvali@dispostable.com,42.85714286,391,מזכיר ספירת קולות מעטפות חיצוניות,16,16-איילון
227395118,נועם,דוידי,noam@dispostable.com,42.85714286,440,מזכיר ספירת קולות בוועדה הארצית,17,17-אשקלון
337379283,פופי,שיין,poopy@dispostable.com,42.85714286,500,חבר ועדת קלפי,18,18-באר שבע
221040397,לינוי,אזולאי,linoy@mailinator.com,42.85714286,501,קולט בוועדת קליטה,19,19-מרכז-צפון 
332560507,יוסי,טסטשלוש,yossi3@mailinator.com,42.85714286,300,מזכיר ועדת קלפי רגילה,99,99-ועדת הבחירות המרכזית לכנסת
336499439,לןפפט,ררררררר,newisraeltestemail@gmail.com,42.85714286,305,מזכיר ועדת קלפי נגישה מיוחדת,1,01-ירושלים
333279131,טסט,טסט,newis.rae.lt.estemail@gmail.com,42.85714286,310,מזכיר ועדת קלפי בית חולים,2,02-יהודה
123456782,חיים,נחמן,oreni@dispostable.com,42.85714286,320,מזכיר ועדת קלפי בבית סוהר,3,03-צפת
338851413,לי,לניר,lee@mailinator.com,41.71428571,391,מזכיר ספירת קולות מעטפות חיצוניות,4,04-כנרת
335293288,צצצצ,וווווו,testu.ser.israel.pr.o@gmail.com,41.2,440,מזכיר ספירת קולות בוועדה הארצית,5,05-יזרעאל
332988765,אלברט,פירות,albert@mailinator.com,39.42857143,500,חבר ועדת קלפי,6,06-עכו
238485429,פרט,פרט,user3@mailinator.com,39.42857143,501,קולט בוועדת קליטה,7,07-חיפה
28524262,ההההה,נננננ,feb.ura.ryisr.ael@gmail.com,35.332,300,מזכיר ועדת קלפי רגילה,8,08-קריות
200680031,עולא,חגאזי,ola@dispostable.com,33.52,305,מזכיר ועדת קלפי נגישה מיוחדת,9,09-חדרה
232111039,יפה,דוידי,yafa@dispostable.com,33.14285714,310,מזכיר ועדת קלפי בית חולים,10,10-השרון-נתניה
332913029,שם,שם,uat1@mailinator.com,31.71428571,320,מזכיר ועדת קלפי בבית סוהר,11,11-פתח תקווה
234694305,אר,ש,arf_corse2105@mailinator.com,31.42857143,391,מזכיר ספירת קולות מעטפות חיצוניות,12,12-רמלה-לוד
231139742,טובה,קהלני,batshi@dispostable.com,30,440,מזכיר ספירת קולות בוועדה הארצית,13,13-רחובות
300320520,נגה,הילה,nogahila24@gmail.com,23.71428571,500,חבר ועדת קלפי,14,14-תל אביב
328315494,פרט,פח,user6@mailinator.com,14.85714286,501,קולט בוועדת קליטה,15,15-דן
327638573,קוקו,קוקו,pt1000@mailinator.com,14,300,מזכיר ועדת קלפי רגילה,16,16-איילון
326536356,פרטי,פרטי,uat11@mailinator.com,12.28571429,305,מזכיר ועדת קלפי נגישה מיוחדת,17,17-אשקלון
234408805,נקשארןז,חלךחלח,bequesttest@mailinator.com,10.28571429,310,מזכיר ועדת קלפי בית חולים,18,18-באר שבע
221261118,ליאור,כץ,orit7@mailinator.com,8.857142857,320,מזכיר ועדת קלפי בבית סוהר,19,19-מרכז-צפון 
201351863,ווווו,לללללל,newi.srae.ltes.tema.il@gmail.com,8.664,391,מזכיר ספירת קולות מעטפות חיצוניות,99,99-ועדת הבחירות המרכזית לכנסת
234686848,יויו,טסט,yoyo@dispostable.com,6.857142857,440,מזכיר ספירת קולות בוועדה הארצית,1,01-ירושלים
224878116,בובו,בוב,pt1001@mailinator.com,5.714285714,500,חבר ועדת קלפי,2,02-יהודה
232547216,חדש,משתמש,hadas@mailinator.com,4.571428571,501,קולט בוועדת קליטה,3,03-צפת
232299735,שלוש,טסט,three@dispostable.com,4.571428571,300,מזכיר ועדת קלפי רגילה,4,04-כנרת
337260384,שוקי,טסט,shuki@dispostable.com,0,305,מזכיר ועדת קלפי נגישה מיוחדת,5,05-יזרעאל
331085282,טל,טסט,tal@dispostable.com,0,310,מזכיר ועדת קלפי בית חולים,6,06-עכו
329824866,גכעגכע,גדגדגד,sapeatesterold@mailinator.com,0,320,מזכיר ועדת קלפי בבית סוהר,7,07-חיפה
329580112,דוד,כץ,hasson.asher@gmail.com,0,391,מזכיר ספירת קולות מעטפות חיצוניות,8,08-קריות
226199008,עומר,אברהם,omer@mailinator.com,0,440,מזכיר ספירת קולות בוועדה הארצית,9,09-חדרה
332668722,נעמה,סגרון,naama@mailinator.com,0,500,חבר ועדת קלפי,10,10-השרון-נתניה
225149251,רחלי,ברכה,rachelie@mailinator.com,0,501,קולט בוועדת קליטה,11,11-פתח תקווה
326043296,חקן,חקו,chaco@mailinator.com,0,300,מזכיר ועדת קלפי רגילה,12,12-רמלה-לוד
65923377,עידן,מלחי,idanm@jbh.co.il,0,305,מזכיר ועדת קלפי נגישה מיוחדת,13,13-רחובות
332364215,פםםפ,םםםםםםםםםםםם,feb.increditester@gmail.com,0,310,מזכיר ועדת קלפי בית חולים,14,14-תל אביב
327601407,ליאור,ה,lior@mailinator.com,0,320,מזכיר ועדת קלפי בבית סוהר,15,15-דן
334895851,לבן,לבן,white@mailinator.com,0,391,מזכיר ספירת קולות מעטפות חיצוניות,16,16-איילון
328039201,חום,חום,brown@mailinator.com,0,440,מזכיר ספירת קולות בוועדה הארצית,17,17-אשקלון
235713443,לילי,לוי,lililevi@mailinator.com,0,500,חבר ועדת קלפי,18,18-באר שבע
236463733,רט,פח,user4@mailinator.com,0,501,קולט בוועדת קליטה,19,19-מרכז-צפון 
332744366,טסט,ארבע,test4@mailinator.com,0,300,מזכיר ועדת קלפי רגילה,99,99-ועדת הבחירות המרכזית לכנסת
232578161,עובד ,עוב , pwmtest@mailinator.com,0,305,מזכיר ועדת קלפי נגישה מיוחדת,1,01-ירושלים
328012943,הפרטים,לעיל,securitytest321@mailinator.com,0,310,מזכיר ועדת קלפי בית חולים,2,02-יהודה
236351094,םם,םם,krys.borek+001@wavelength.global,0,320,מזכיר ועדת קלפי בבית סוהר,3,03-צפת
334971488,דוד,סלוואטור,securitytest999@mailinator.com,0,391,מזכיר ספירת קולות מעטפות חיצוניות,4,04-כנרת
339050254,לינוי,אזולאי,linoy4004@gmail.com,0,440,מזכיר ספירת קולות בוועדה הארצית,5,05-יזרעאל
229120951,הןאםר,הןאםר,s0208@mailinator.com,0,500,חבר ועדת קלפי,6,06-עכו
238477525,סםסם,סםסם,s0209@mailinator.com,0,501,קולט בוועדת קליטה,7,07-חיפה
239955339,פפה,פופוב,apreg71@mailinator.com,0,300,מזכיר ועדת קלפי רגילה,8,08-קריות
224349886,עע,טט,apreg73@mailinator.com,0,305,מזכיר ועדת קלפי נגישה מיוחדת,9,09-חדרה
29583069,גנאל,גרינברגר,ganel@dispostable.com,0,310,מזכיר ועדת קלפי בית חולים,10,10-השרון-נתניה
329164958,הירו,קהלני,hyro@dispostable.com,0,320,מזכיר ועדת קלפי בבית סוהר,11,11-פתח תקווה
322455551,פרח,ממן,perach@dispostable.com,0,391,מזכיר ספירת קולות מעטפות חיצוניות,12,12-רמלה-לוד
321296204,שם,שם,isidoro.legido@scytl.com,0,440,מזכיר ספירת קולות בוועדה הארצית,13,13-רחובות
333816064,שם,שם,ilegido@scytl.net,0,500,חבר ועדת קלפי,14,14-תל אביב
226541316,שם,שם,islegmar@gmail.com,0,501,קולט בוועדת קליטה,15,15-דן
322308420,ספיר,ממן,sapir@dispostable.com,0,300,מזכיר ועדת קלפי רגילה,16,16-איילון
322770256,שמואל,עזריאל,shmuelazriel236@gmail.com,0,305,מזכיר ועדת קלפי נגישה מיוחדת,17,17-אשקלון
324372275,קהש,קגקכדקכרק'ר,eva.almendros@gmail.com,0,310,מזכיר ועדת קלפי בית חולים,18,18-באר שבע
337046544,רפאל,מענדל,fe.b.ura.r.yisra.el@gmail.com,0,320,מזכיר ועדת קלפי בבית סוהר,19,19-מרכז-צפון 
232350538,אדם,דן,an.other.israelt.ester@gmail.com,0,391,מזכיר ספירת קולות מעטפות חיצוניות,99,99-ועדת הבחירות המרכזית לכנסת
223725888,ברוך,לוי,th.ecan.adia.nbou.ncyba.ll12.34.5@gmail.com,0,440,מזכיר ספירת קולות בוועדה הארצית,1,01-ירושלים
339369746,בנציון,מאיר,a.kirac.hicken.tes.ter@gmail.com,0,500,חבר ועדת קלפי,2,02-יהודה
325846871,מיכאל,פישל,feb.incre.ditest.er@gmail.com,0,501,קולט בוועדת קליטה,3,03-צפת
329344261,חצחצ,ממממממ,colb.oltte.ster12345@gmail.com,0,300,מזכיר ועדת קלפי רגילה,4,04-כנרת
208159608,נתנאל,אברגל,netanelab02@walla.com,0,305,מזכיר ועדת קלפי נגישה מיוחדת,5,05-יזרעאל
207706474,תאיר תמר,שרף,tairasraf35@gmail.com,0,310,מזכיר ועדת קלפי בית חולים,6,06-עכו
315017608,מראם,טרביה,ramy.skhnin@gmail.com,NULL,320,מזכיר ועדת קלפי בבית סוהר,7,07-חיפה
338028962,ראשוניתראשונית,1234,julien@aucoeurdupain.com,NULL,391,מזכיר ספירת קולות מעטפות חיצוניות,8,08-קריות
226932259,רות,טוט,root@dispostable.com,NULL,440,מזכיר ספירת קולות בוועדה הארצית,9,09-חדרה
234840742,שם,שם,oscar.velayos@scytl.com,NULL,500,חבר ועדת קלפי,10,10-השרון-נתניה
230622441,רשמה,רשמה,julien.moutte@scytl.com,NULL,501,קולט בוועדת קליטה,11,11-פתח תקווה
223086091,אורית,חדש,orit@dispostable.com,NULL,300,מזכיר ועדת קלפי רגילה,12,12-רמלה-לוד
220757702,שדג,שדג,hplleite@gmail.com,NULL,305,מזכיר ועדת קלפי נגישה מיוחדת,13,13-רחובות
228921623,רונן,טסט,ronen@dispostable.com,NULL,310,מזכיר ועדת קלפי בית חולים,14,14-תל אביב
338690472,שם,שם,uat13@mailinator.com,NULL,320,מזכיר ועדת קלפי בבית סוהר,15,15-דן
229294087,נקשארןז,חלךחלח,sapeatester2@mailinator.com,NULL,391,מזכיר ספירת קולות מעטפות חיצוניות,16,16-איילון
232318683,נקשארןז,רקזקמקר,sapefailquiz@mailinator.com,NULL,440,מזכיר ספירת קולות בוועדה הארצית,17,17-אשקלון
324118686,פרטי,פרטי,uat22@mailinator.com,NULL,500,חבר ועדת קלפי,18,18-באר שבע
238529036,מִבְחָן,מִבְחָן,asdviad@mailinator.com,NULL,501,קולט בוועדת קליטה,19,19-מרכז-צפון 
203820055,נכשל,טסט,fail@dispostable.com,NULL,300,מזכיר ועדת קלפי רגילה,99,99-ועדת הבחירות המרכזית לכנסת
238638167,פרטי,שפחה,vlad001@mailinator.com,NULL,305,מזכיר ועדת קלפי נגישה מיוחדת,1,01-ירושלים
328658257,ראשונית,שם,vlad002@mailinator.com,NULL,310,מזכיר ועדת קלפי בית חולים,2,02-יהודה
233385897,ראשונית,שם,vlad003@mailinator.com,NULL,320,מזכיר ועדת קלפי בבית סוהר,3,03-צפת
321219669,ראשונית,שם,vlad004@mailinator.com,NULL,391,מזכיר ספירת קולות מעטפות חיצוניות,4,04-כנרת
